name,salary,season,team,shoots,height_cm,weight_kg,age,games_played,mins_played,pts,ppm,ppg
A.C. Green,1700000,2000,Los Angeles Lakers,Right,205.74,99.88,36,82,1929,413,0.2141,5.03659
A.C. Green,2250000,2001,Miami Heat,Right,205.74,99.88,37,82,1411,367,0.2601,4.47561
A.J. Bramlett,118974,2000,Cleveland Cavaliers,Right,208.28,103.058,23,8,61,8,0.13115,1
A.J. Guyton,316969,2001,Chicago Bulls,Right,185.42,81.72,22,33,630,198,0.31429,6
A.J. Guyton,465850,2002,Chicago Bulls,Right,185.42,81.72,23,45,607,244,0.40198,5.42222
A.J. Guyton,18748,2003,Golden State Warriors,Right,185.42,81.72,24,2,9,0,0,0
A.J. Price,457588,2010,Indiana Pacers,Right,187.96,82.174,23,56,865,410,0.47399,7.32143
A.J. Price,762195,2011,Indiana Pacers,Right,187.96,82.174,24,50,795,323,0.40629,6.46
A.J. Price,854389,2012,Indiana Pacers,Right,187.96,82.174,25,44,568,172,0.30282,3.90909
A.J. Price,885120,2013,Washington Wizards,Right,187.96,82.174,26,57,1278,441,0.34507,7.73684
A.J. Price,62552,2015,TOT,Right,187.96,82.174,28,26,324,133,0.41049,5.11538
A.J. Price,62552,2015,Indiana Pacers,Right,187.96,82.174,28,10,193,105,0.54404,10.5
A.J. Price,62552,2015,Cleveland Cavaliers,Right,187.96,82.174,28,11,87,22,0.25287,2
A.J. Price,62552,2015,Phoenix Suns,Right,187.96,82.174,28,5,44,6,0.13636,1.2
Aaron Brooks,972720,2008,Houston Rockets,Right,182.88,73.094,23,51,608,264,0.43421,5.17647
Aaron Brooks,1045560,2009,Houston Rockets,Right,182.88,73.094,24,80,1998,894,0.44745,11.175
Aaron Brooks,1118520,2010,Houston Rockets,Right,182.88,73.094,25,82,2919,1604,0.5495,19.56098
Aaron Brooks,2016692,2011,TOT,Right,182.88,73.094,26,59,1284,634,0.49377,10.74576
Aaron Brooks,2016692,2011,Houston Rockets,Right,182.88,73.094,26,34,811,394,0.48582,11.58824
Aaron Brooks,2016692,2011,Phoenix Suns,Right,182.88,73.094,26,25,473,240,0.5074,9.6
Aaron Brooks,3250000,2013,TOT,Right,182.88,73.094,28,53,997,376,0.37713,7.09434
Aaron Brooks,3250000,2013,Sacramento Kings,Right,182.88,73.094,28,46,959,366,0.38165,7.95652
Aaron Brooks,3250000,2013,Houston Rockets,Right,182.88,73.094,28,7,38,10,0.26316,1.42857
Aaron Brooks,3396250,2014,TOT,Right,182.88,73.094,29,72,1557,645,0.41426,8.95833
Aaron Brooks,3396250,2014,Houston Rockets,Right,182.88,73.094,29,43,716,299,0.4176,6.95349
Aaron Brooks,3396250,2014,Denver Nuggets,Right,182.88,73.094,29,29,841,346,0.41141,11.93103
Aaron Brooks,1145685,2015,Chicago Bulls,Right,182.88,73.094,30,82,1885,954,0.5061,11.63415
Aaron Brooks,2000000,2016,Chicago Bulls,Right,182.88,73.094,31,69,1108,491,0.44314,7.11594
Aaron Gordon,3992040,2015,Orlando Magic,Right,205.74,99.88,19,47,797,243,0.30489,5.17021
Aaron Gordon,4171680,2016,Orlando Magic,Right,205.74,99.88,20,78,1863,719,0.38594,9.21795
