name,shoots,height_cm,weight_kg
A.C. Green,Right,205.74,99.88
A.J. Bramlett,Right,208.28,103.058
A.J. Guyton,Right,185.42,81.72
A.J. Price,Right,187.96,82.174
Aaron Brooks,Right,182.88,73.094
Aaron Gordon,Right,205.74,99.88
Aaron Gray,Right,213.36,122.58
Aaron McKie,Right,195.58,94.886
Aaron Miles,Right,185.42,79.45
Aaron Williams,Left,205.74,99.88
Acie Law,Right,190.5,88.53
Adam Harrington,Right,195.58,90.8
Adam Keefe,Right,205.74,104.42
Adam Morrison,Right,203.2,93.07
Adonal Foyle,Right,208.28,113.5
Adonis Thomas,Right,200.66,90.8
Adreian Payne,Right,208.28,107.598
Adrian Griffin,Left,195.58,98.518
Al Harrington,Right,205.74,104.42
Al Horford,Right,208.28,111.23
Al Jefferson,Right,208.28,120.31
Al Thornton,Right,203.2,99.88
Al-Farouq Aminu,Right,205.74,97.61
Alan Anderson,Right,198.12,99.88
Alan Henderson,Right,205.74,106.69
Alando Tucker,Right,198.12,93.07
Alec Burks,Right,198.12,88.53
Aleksandar Radojevic,Right,220.98,113.5
Alex Acker,Right,195.58,83.99
Alex Garcia,Left,190.5,99.88
Alex Kirk,Right,213.36,111.23
Alex Len,Right,215.9,115.77
Alexander Johnson,Right,205.74,108.96
Alexey Shved,Right,198.12,86.26
Alexis Ajinca,Right,213.36,99.88
Allan Houston,Right,198.12,90.8
Allan Ray,Right,187.96,86.26
Allen Crabbe,Right,198.12,95.34
Allen Iverson,Right,182.88,74.91
Alonzo Gee,Right,198.12,99.88
Alonzo Mourning,Right,208.28,108.96
Alton Ford,Right,205.74,124.85
Alvin Jones,Right,210.82,120.31
Alvin Williams,Right,195.58,83.99
Amal McCaskill,Right,210.82,106.69
Amar'e Stoudemire,Right,208.28,111.23
Amir Johnson,Right,205.74,95.34
Anderson Varejao,Right,208.28,104.42
Andrae Patterson,Right,205.74,108.052
Andray Blatche,Right,210.82,106.69
Andre Barrett,Right,177.8,78.088
Andre Brown,Right,205.74,111.23
Andre Dawkins,Right,195.58,97.61
Andre Drummond,Right,208.28,122.58
Andre Emmett,Right,195.58,104.42
Andre Iguodala,Right,198.12,93.978
Andre Miller,Right,187.96,90.8
Andre Owens,Right,193.04,90.8
Andre Roberson,Right,200.66,95.34
Andrea Bargnani,Right,213.36,102.15
Andreas Glyniadakis,Right,215.9,127.12
Andrei Kirilenko,Right,205.74,99.88
Andres Nocioni,Right,200.66,102.15
Andrew Bogut,Right,213.36,111.23
Andrew Bynum,Right,213.36,129.39
Andrew DeClercq,Right,208.28,104.42
Andrew Goudelock,Right,190.5,90.8
Andrew Lang,Right,210.82,111.23
Andrew Nicholson,Right,205.74,113.5
Andrew Wiggins,Right,203.2,90.346
Andris Biedrins,Left,210.82,108.96
Andy Panko,Right,205.74,100.788
Andy Rautins,Right,193.04,86.26
Anfernee Hardaway,Right,200.66,88.53
Ansu Sesay,Left,205.74,102.15
Antawn Jamison,Right,203.2,101.242
Anthony Avent,Right,205.74,106.69
Anthony Bennett,Right,203.2,108.96
Anthony Brown,Right,200.66,95.34
Anthony Carter,Right,185.42,86.26
Anthony Davis,Right,208.28,99.88
Anthony Goldwire,Right,185.42,82.628
Anthony Grundy,Right,190.5,81.72
Anthony Johnson,Right,190.5,86.26
Anthony Mason,Left,200.66,113.5
Anthony Miller,Right,205.74,102.15
Anthony Morrow,Right,195.58,95.34
Anthony Parker,Right,198.12,97.61
Anthony Peeler,Left,193.04,94.432
Anthony Randolph,Left,208.28,93.07
Anthony Roberson,Right,187.96,81.72
Anthony Tolliver,Right,203.2,108.96
Antoine Carr,Right,205.74,102.15
Antoine Rigaudeau,Right,200.66,95.34
Antoine Walker,Right,203.2,101.696
Antoine Wright,Right,200.66,95.34
Antonio Anderson,Right,198.12,97.61
Antonio Burks,Right,185.42,90.8
Antonio Daniels,Right,193.04,88.53
Antonio Davis,Right,205.74,97.61
Antonio Harvey,Right,210.82,102.15
Antonio Lang,Right,203.2,93.07
Antonio McDyess,Right,205.74,99.88
Antonis Fotsis,Right,208.28,99.426
Archie Goodwin,Right,195.58,89.892
Arinze Onuaku,Right,205.74,124.85
Armen Gilliam,Right,205.74,104.42
Armon Johnson,Left,190.5,88.53
Arnett Moultrie,Right,210.82,113.046
Aron Baynes,Right,208.28,118.04
Arron Afflalo,Right,195.58,97.61
Art Long,Right,205.74,113.5
Arvydas Macijauskas,Right,193.04,97.156
Arvydas Sabonis,Right,220.98,126.666
Austin Croshere,Right,205.74,106.69
Austin Daye,Right,210.82,90.8
Austin Rivers,Right,193.04,90.8
Avery Bradley,Right,187.96,81.72
Avery Johnson,Left,177.8,79.45
Awvee Storey,Right,198.12,100.788
B.J. Armstrong,Right,187.96,79.45
Baron Davis,Right,190.5,94.886
Ben Davis,Right,205.74,108.96
Ben Gordon,Right,190.5,90.8
Ben Handlogten,Right,208.28,108.96
Ben Hansbrough,Right,190.5,92.162
Ben McLemore,Right,195.58,88.53
Ben Uzoh,Right,190.5,93.07
Ben Wallace,Right,205.74,108.96
Beno Udrih,Left,190.5,93.07
Benoit Benjamin,Right,213.36,113.5
Bernard James,Left,208.28,108.96
Bernard Robinson,Left,198.12,95.34
Bill Curley,Right,205.74,99.88
Bill Wennington,Right,213.36,111.23
Billy Owens,Right,203.2,99.88
Billy Thomas,Right,193.04,94.432
Bimbo Coles,Right,185.42,81.72
Bismack Biyombo,Right,205.74,103.966
Blake Ahearn,Right,187.96,86.26
Blake Griffin,Right,208.28,113.954
Bo Outlaw,Right,203.2,95.34
Bob Sura,Right,195.58,90.8
Boban Marjanovic,Right,220.98,131.66
Bobby Brown,Right,187.96,79.45
Bobby Jackson,Right,185.42,83.99
Bobby Jones,Right,200.66,97.61
Bobby Jones,Right,200.66,97.61
Bobby Phills,Right,195.58,95.34
Bobby Portis,Right,210.82,104.42
Bobby Simmons,Right,200.66,95.34
Bojan Bogdanovic,Right,203.2,98.064
Boniface N'Dong,Right,213.36,89.892
Bonzi Wells,Right,195.58,95.34
Boris Diaw,Right,203.2,97.61
Bostjan Nachbar,Right,205.74,100.334
Bracey Wright,Right,190.5,95.34
Brad Miller,Right,210.82,110.776
Bradley Beal,Right,195.58,93.978
Brandan Wright,Left,205.74,93.07
Brandin Knight,Right,182.88,81.72
Brandon Armstrong,Left,195.58,85.352
Brandon Bass,Right,203.2,108.96
Brandon Davies,Right,208.28,108.96
Brandon Hunter,Right,200.66,118.04
Brandon Jennings,Left,185.42,76.726
Brandon Knight,Right,190.5,85.806
Brandon Roy,Right,198.12,97.61
Brandon Rush,Right,198.12,95.34
Brandon Williams,Right,198.12,97.61
Brendan Haywood,Right,213.36,121.672
Brent Barry,Right,198.12,83.99
Brent Price,Right,185.42,74.91
Brevin Knight,Right,177.8,78.542
Brian Cardinal,Right,203.2,111.23
Brian Cook,Right,205.74,106.236
Brian Grant,Right,205.74,115.316
Brian Roberts,Right,185.42,81.72
Brian Scalabrine,Right,205.74,109.414
Brian Shaw,Right,198.12,86.26
Brian Skinner,Right,205.74,115.77
Britton Johnsen,Right,208.28,95.34
Brook Lopez,Right,213.36,118.04
Bruce Bowen,Right,200.66,83.99
Bruno Caboclo,Right,205.74,93.07
Bruno Sundov,Right,218.44,99.88
Bryant Reeves,Right,213.36,124.85
Bryant Stith,Right,195.58,94.432
Bryce Cotton,Right,185.42,74.91
Bryce Drew,Right,187.96,83.99
Bryon Russell,Right,200.66,102.15
Byron Mullens,Right,213.36,124.85
C.J. Miles,Left,198.12,95.34
C.J. Watson,Right,187.96,81.72
C.J. Wilcox,Right,195.58,88.53
Cal Bowdler,Right,208.28,111.23
Calbert Cheaney,Left,200.66,94.886
Calvin Booth,Left,210.82,104.42
Cameron Bairstow,Right,205.74,113.5
Cameron Payne,Left,190.5,83.99
Carl Landry,Right,205.74,112.592
Carldell Johnson,Right,177.8,81.72
Carlos Arroyo,Right,187.96,91.708
Carlos Boozer,Right,205.74,117.132
Carlos Delfino,Right,198.12,104.42
Carlos Rogers,Right,210.82,99.88
Carmelo Anthony,Right,203.2,104.42
Caron Butler,Right,200.66,98.518
Carrick Felix,Right,198.12,91.254
Cartier Martin,Right,200.66,99.88
Casey Jacobsen,Right,198.12,97.61
Casper Ware,Right,177.8,79.45
Cedric Bozeman,Right,198.12,93.978
Cedric Ceballos,Right,198.12,86.26
Cedric Henderson,Right,200.66,97.61
Cedric Henderson,Right,200.66,97.61
Cedric Jackson,Right,190.5,86.714
Cedric Simmons,Right,205.74,106.69
Cezary Trybanski,Right,218.44,108.96
Chandler Parsons,Right,205.74,90.8
Channing Frye,Right,210.82,112.592
Charles Barkley,Right,198.12,114.408
Charles Jenkins,Right,190.5,99.88
Charles Jones,Right,190.5,81.72
Charles Jones,Right,190.5,81.72
Charles Jones,Right,190.5,81.72
Charles Oakley,Right,203.2,102.15
Charles Smith,Right,193.04,88.076
Charles Smith,Right,193.04,88.076
Charles Smith,Right,193.04,88.076
Charlie Bell,Right,190.5,90.8
Charlie Villanueva,Right,210.82,108.96
Charlie Ward,Right,187.96,86.26
Chase Budinger,Right,200.66,98.972
Chauncey Billups,Right,190.5,91.708
Cheikh Samb,Right,215.9,111.23
Cherokee Parks,Right,210.82,106.69
Chris Andersen,Right,208.28,104.42
Chris Anstey,Right,213.36,113.046
Chris Babb,Right,195.58,102.15
Chris Bosh,Left,210.82,106.69
