name,salary,season,team,shoots,height_cm,weight_kg
A.C. Green,1700000,2000,Los Angeles Lakers,Right,205.74,99.88
A.C. Green,2250000,2001,Miami Heat,Right,205.74,99.88
A.J. Bramlett,118974,2000,Cleveland Cavaliers,Right,208.28,103.058
A.J. Guyton,316969,2001,Chicago Bulls,Right,185.42,81.72
A.J. Guyton,465850,2002,Chicago Bulls,Right,185.42,81.72
A.J. Guyton,18748,2003,Golden State Warriors,Right,185.42,81.72
A.J. Price,457588,2010,Indiana Pacers,Right,187.96,82.174
A.J. Price,762195,2011,Indiana Pacers,Right,187.96,82.174
A.J. Price,854389,2012,Indiana Pacers,Right,187.96,82.174
A.J. Price,885120,2013,Washington Wizards,Right,187.96,82.174
A.J. Price,62552,2015,Phoenix Suns,Right,187.96,82.174
Aaron Brooks,972720,2008,Houston Rockets,Right,182.88,73.094
Aaron Brooks,1045560,2009,Houston Rockets,Right,182.88,73.094
Aaron Brooks,1118520,2010,Houston Rockets,Right,182.88,73.094
Aaron Brooks,2016692,2011,Phoenix Suns,Right,182.88,73.094
Aaron Brooks,3250000,2013,Sacramento Kings,Right,182.88,73.094
Aaron Brooks,3396250,2014,Sacramento Kings,Right,182.88,73.094
Aaron Brooks,1027424,2014,Houston Rockets,Right,182.88,73.094
Aaron Brooks,1145685,2015,Chicago Bulls,Right,182.88,73.094
Aaron Brooks,2000000,2016,Chicago Bulls,Right,182.88,73.094
Aaron Brooks,2700000,2017,Indiana Pacers,Right,182.88,73.094
Aaron Brooks,1471382,2018,Minnesota Timberwolves,Right,182.88,73.094
Aaron Gordon,3992040,2015,Orlando Magic,Right,205.74,99.88
Aaron Gordon,4171680,2016,Orlando Magic,Right,205.74,99.88
Aaron Gordon,4351320,2017,Orlando Magic,Right,205.74,99.88
Aaron Gordon,5504420,2018,Orlando Magic,Right,205.74,99.88
Aaron Gray,427163,2008,Chicago Bulls,Right,213.36,122.58
Aaron Gray,711517,2009,Chicago Bulls,Right,213.36,122.58
Aaron Gray,1000497,2010,New Orleans Hornets,Right,213.36,122.58
Aaron Gray,1028840,2011,New Orleans Hornets,Right,213.36,122.58
Aaron Gray,2500000,2012,Toronto Raptors,Right,213.36,122.58
Aaron Gray,2575000,2013,Toronto Raptors,Right,213.36,122.58
Aaron Gray,2690875,2014,Toronto Raptors,Right,213.36,122.58
Aaron Gray,1227985,2015,Detroit Pistons,Right,213.36,122.58
Aaron Gray,452059,2016,Detroit Pistons,Right,213.36,122.58
Aaron Gray,452059,2017,Detroit Pistons,Right,213.36,122.58
Aaron McKie,1624000,2000,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,1818000,2001,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,4000000,2002,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,4500000,2003,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,5000000,2004,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,5500000,2005,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,6000000,2006,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,2500000,2006,Los Angeles Lakers,Right,195.58,94.886
Aaron McKie,5570874,2007,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,2500000,2007,Los Angeles Lakers,Right,195.58,94.886
Aaron McKie,7000000,2008,Philadelphia 76ers,Right,195.58,94.886
Aaron McKie,750000,2008,Memphis Grizzlies,Right,195.58,94.886
Aaron Miles,155614,2006,Golden State Warriors,Right,185.42,79.45
Aaron Williams,1100000,2000,Washington Wizards,Left,205.74,99.88
Aaron Williams,2250000,2001,New Jersey Nets,Left,205.74,99.88
Aaron Williams,2475000,2002,New Jersey Nets,Left,205.74,99.88
Aaron Williams,2700000,2003,New Jersey Nets,Left,205.74,99.88
Aaron Williams,2925000,2004,New Jersey Nets,Left,205.74,99.88
Aaron Williams,3790257,2005,Toronto Raptors,Left,205.74,99.88
Aaron Williams,3375000,2006,Toronto Raptors,Left,205.74,99.88
Aaron Williams,1750000,2007,Los Angeles Clippers,Left,205.74,99.88
Aaron Williams,1890000,2008,Los Angeles Clippers,Left,205.74,99.88
Acie Law,1927080,2008,Atlanta Hawks,Right,190.5,88.53
Acie Law,2071680,2009,Atlanta Hawks,Right,190.5,88.53
Acie Law,2216160,2010,Chicago Bulls,Right,190.5,88.53
Acie Law,656030,2011,Golden State Warriors,Right,190.5,88.53
Acie Law,203057,2011,Memphis Grizzlies,Right,190.5,88.53
Adam Harrington,140636,2003,Dallas Mavericks,Right,195.58,90.8
Adam Keefe,3000000,2000,Utah Jazz,Right,205.74,104.42
Adam Keefe,3390000,2001,Golden State Warriors,Right,205.74,104.42
Adam Morrison,3616680,2007,Charlotte Bobcats,Right,203.2,93.07
Adam Morrison,3887880,2008,Charlotte Bobcats,Right,203.2,93.07
Adam Morrison,4159200,2009,Los Angeles Lakers,Right,203.2,93.07
Adam Morrison,5257229,2010,Los Angeles Lakers,Right,203.2,93.07
Adonal Foyle,1922520,2000,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,3580000,2001,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,4400000,2002,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,4400000,2003,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,4400000,2004,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,6500000,2005,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,7312500,2006,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,8125000,2007,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,8937500,2008,Golden State Warriors,Right,208.28,113.5
Adonal Foyle,1219590,2008,Orlando Magic,Right,208.28,113.5
