name,salary,season,team
Mahmoud Abdul-Rauf,798500,2001,Vancouver Grizzlies
Tariq Abdul-Wahad,1594920,2000,Denver Nuggets
Tariq Abdul-Wahad,4500000,2001,Denver Nuggets
Tariq Abdul-Wahad,5062500,2002,Denver Nuggets
Tariq Abdul-Wahad,5625000,2003,Dallas Mavericks
Tariq Abdul-Wahad,6187500,2004,Dallas Mavericks
Tariq Abdul-Wahad,6750000,2005,Dallas Mavericks
Tariq Abdul-Wahad,3656250,2006,Dallas Mavericks
Tariq Abdul-Wahad,1968750,2007,Dallas Mavericks
Shareef Abdur-Rahim,9000000,2000,Vancouver Grizzlies
Shareef Abdur-Rahim,10130000,2001,Vancouver Grizzlies
Shareef Abdur-Rahim,11250000,2002,Atlanta Hawks
Shareef Abdur-Rahim,12375000,2003,Atlanta Hawks
Shareef Abdur-Rahim,13500000,2004,Atlanta Hawks
Shareef Abdur-Rahim,14625000,2005,Portland Trail Blazers
Shareef Abdur-Rahim,5000000,2006,Sacramento Kings
Shareef Abdur-Rahim,5400000,2007,Sacramento Kings
Shareef Abdur-Rahim,5800000,2008,Sacramento Kings
Shareef Abdur-Rahim,6600000,2010,Sacramento Kings
Alex Abrines,5994764,2017,Oklahoma City Thunder
Alex Abrines,5725000,2018,Oklahoma City Thunder
Alex Acker,398762,2006,Detroit Pistons
Alex Acker,839209,2007,Detroit Pistons
Alex Acker,711517,2009,Los Angeles Clippers
Quincy Acy,665000,2013,Toronto Raptors
Quincy Acy,788872,2014,Toronto Raptors
Quincy Acy,915243,2015,New York Knicks
Quincy Acy,981348,2016,Sacramento Kings
Quincy Acy,1914544,2017,Brooklyn Nets
Quincy Acy,1050961,2017,Dallas Mavericks
Quincy Acy,1709538,2018,Brooklyn Nets
Hassan Adams,412718,2007,New Jersey Nets
Hassan Adams,297163,2009,Los Angeles Clippers
Jordan Adams,1344120,2015,Memphis Grizzlies
Jordan Adams,1404600,2016,Memphis Grizzlies
Jordan Adams,1465080,2017,Memphis Grizzlies
Steven Adams,2090880,2014,Oklahoma City Thunder
Steven Adams,2184960,2015,Oklahoma City Thunder
Steven Adams,2279040,2016,Oklahoma City Thunder
Steven Adams,3140517,2017,Oklahoma City Thunder
Steven Adams,22471910,2018,Oklahoma City Thunder
Bam Adebayo,2490360,2018,Miami Heat
Jeff Adrien,342666,2011,Golden State Warriors
Jeff Adrien,270427,2012,Houston Rockets
Jeff Adrien,804131,2013,Charlotte Bobcats
Jeff Adrien,916099,2014,Charlotte Bobcats
Jeff Adrien,981084,2015,Houston Rockets
Arron Afflalo,944520,2008,Detroit Pistons
Arron Afflalo,1015440,2009,Detroit Pistons
Arron Afflalo,1086240,2010,Denver Nuggets
Arron Afflalo,1959577,2011,Denver Nuggets
Arron Afflalo,7562500,2012,Denver Nuggets
Arron Afflalo,7750000,2013,Orlando Magic
Arron Afflalo,7312500,2014,Orlando Magic
Arron Afflalo,7750000,2015,Portland Trail Blazers
Arron Afflalo,8000000,2016,New York Knicks
Arron Afflalo,12500000,2017,Sacramento Kings
Arron Afflalo,1500000,2018,Sacramento Kings
Arron Afflalo,1471382,2018,Orlando Magic
Maurice Ager,906480,2007,Dallas Mavericks
Maurice Ager,974400,2008,New Jersey Nets
Maurice Ager,1042440,2009,New Jersey Nets
Maurice Ager,83305,2011,Minnesota Timberwolves
Blake Ahearn,125562,2009,San Antonio Spurs
Alexis Ajinca,1276320,2009,Charlotte Bobcats
Alexis Ajinca,1372080,2010,Charlotte Bobcats
Alexis Ajinca,1467840,2011,Toronto Raptors
Alexis Ajinca,981084,2015,New Orleans Pelicans
Alexis Ajinca,4300000,2016,New Orleans Pelicans
Alexis Ajinca,4600000,2017,New Orleans Pelicans
Alexis Ajinca,4961798,2018,New Orleans Pelicans
Josh Akognon,788872,2014,Memphis Grizzlies
Solomon Alabi,770000,2011,Toronto Raptors
Solomon Alabi,830000,2012,Toronto Raptors
Furkan Aldemir,3000000,2015,Philadelphia 76ers
Furkan Aldemir,3000000,2016,Philadelphia 76ers
Cole Aldrich,2126520,2011,Oklahoma City Thunder
Cole Aldrich,2286000,2012,Oklahoma City Thunder
Cole Aldrich,2445480,2013,Sacramento Kings
Cole Aldrich,981084,2015,New York Knicks
Cole Aldrich,1100600,2016,Los Angeles Clippers
Cole Aldrich,7643979,2017,Minnesota Timberwolves
Cole Aldrich,7300000,2018,Minnesota Timberwolves
