state,team,draft_year
Ohio,Atlanta Hawks,2000
Utah,Atlanta Hawks,2000
"California, Los Angeles",Boston Celtics,2000
Kentucky,Charlotte Hornets,2000
Indiana,Chicago Bulls,2000
Iowa,Chicago Bulls,2000
Connecticut,Chicago Bulls,2000
Connecticut,Chicago Bulls,2000
Texas,Chicago Bulls,2000
Michigan,Cleveland Cavaliers,2000
New York,Dallas Mavericks,2000
Tennessee,Dallas Mavericks,2000
Alabama,Denver Nuggets,2000
Northern Arizona University,Denver Nuggets,2000
Michigan,Detroit Pistons,2000
Indiana,Detroit Pistons,2000
Alabama,Golden State Warriors,2000
Minnesota,Houston Rockets,2000
Oklahoma,Houston Rockets,2000
DePaul University,Los Angeles Clippers,2000
California,Los Angeles Lakers,2000
Arizona,Miami Heat,2000
Indian Hills Community College,Miami Heat,2000
"Indiana, Georgia Institute of Technology",Milwaukee Bucks,2000
Ohio,Milwaukee Bucks,2000
New York,Milwaukee Bucks,2000
Ohio,New Jersey Nets,2000
St. John's University,New York Knicks,2000
Florida,New York Knicks,2000
Florida,Orlando Magic,2000
University of Missouri,Orlando Magic,2000
"University of Virginia, California, California",Orlando Magic,2000
Hofstra University,Philadelphia 76ers,2000
St. John's University,Portland Trail Blazers,2000
Louisiana,Sacramento Kings,2000
Oklahoma,Seattle SuperSonics,2000
Michigan,Toronto Raptors,2000
"Tyler Junior College, University of Idaho",Utah Jazz,2000
Louisiana,Vancouver Grizzlies,2000
Louisiana,Washington Wizards,2000
Maryland,Atlanta Hawks,2001
Okaloosa-Walton Community College,Boston Celtics,2001
Arkansas,Boston Celtics,2001
North Carolina,Boston Celtics,2001
Indiana,Charlotte Hornets,2001
Austin Peay State University,Chicago Bulls,2001
California,Chicago Bulls,2001
North Carolina,Cleveland Cavaliers,2001
California,Cleveland Cavaliers,2001
Ohio,Dallas Mavericks,2001
North Carolina at Charlotte,Detroit Pistons,2001
Michigan,Golden State Warriors,2001
Arizona,Golden State Warriors,2001
University of Notre Dame,Golden State Warriors,2001
Pepperdine University,Houston Rockets,2001
California,Houston Rockets,2001
Arizona,Houston Rockets,2001
Alabama,Indiana Pacers,2001
Clemson University,Memphis Grizzlies,2001
North Carolina,Memphis Grizzlies,2001
Iowa,Memphis Grizzlies,2001
Ohio,Miami Heat,2001
"Wake Forest University, Arizona",Minnesota Timberwolves,2001
Seton Hall University,New Jersey Nets,2001
California,New Jersey Nets,2001
DePaul University,Orlando Magic,2001
Southern Methodist University,Orlando Magic,2001
St. John's University,Orlando Magic,2001
Georgia Institute of Technology,Philadelphia 76ers,2001
Seton Hall University,Philadelphia 76ers,2001
New York,Philadelphia 76ers,2001
Texas,Phoenix Suns,2001
Georgetown University,Portland Trail Blazers,2001
Michigan,Portland Trail Blazers,2001
Alabama,Sacramento Kings,2001
DePaul University,Seattle SuperSonics,2001
"California, Los Angeles",Seattle SuperSonics,2001
"Kentucky, Villanova University",Toronto Raptors,2001
California,Utah Jazz,2001
Wake Forest University,Boston Celtics,2002
North Carolina,Chicago Bulls,2002
Maryland,Chicago Bulls,2002
University of Virginia,Chicago Bulls,2002
North Carolina,Cleveland Cavaliers,2002
Tennessee,Cleveland Cavaliers,2002
Illinois,Denver Nuggets,2002
Tennessee,Denver Nuggets,2002
Kentucky,Detroit Pistons,2002
North Carolina,Golden State Warriors,2002
"California, California",Houston Rockets,2002
Oregon,Indiana Pacers,2002
"California, California",Los Angeles Clippers,2002
Maryland,Los Angeles Clippers,2002
"Arkansas, California, California",Los Angeles Lakers,2002
"California, Los Angeles",Memphis Grizzlies,2002
Illinois,Memphis Grizzlies,2002
Kansas,Memphis Grizzlies,2002
La Salle University,Miami Heat,2002
Connecticut,Miami Heat,2002
"Meridian Community College, Shaw University",Milwaukee Bucks,2002
"Tulane University, Texas",Milwaukee Bucks,2002
"California, Los Angeles",Milwaukee Bucks,2002
Tennessee,Milwaukee Bucks,2002
Marshall University,New Jersey Nets,2002
California,Orlando Magic,2002
California,Phoenix Suns,2002
Mississippi,Portland Trail Blazers,2002
Central Connecticut State University,Sacramento Kings,2002
"Washington, Washington",Sacramento Kings,2002
"California, California, San Diego State University",San Antonio Spurs,2002
Florida,San Antonio Spurs,2002
University of Missouri,Toronto Raptors,2002
California,Utah Jazz,2002
"Oklahoma, University of Notre Dame",Utah Jazz,2002
Indiana,Washington Wizards,2002
Maryland,Washington Wizards,2002
"Utah Valley State College, Brigham Young University",Atlanta Hawks,2003
Boston College,Boston Celtics,2003
Ohio,Boston Celtics,2003
"Rutgers University, North Carolina",Boston Celtics,2003
Florida,Chicago Bulls,2003
Kansas,Chicago Bulls,2003
"California, Los Angeles",Cleveland Cavaliers,2003
Wake Forest University,Dallas Mavericks,2003
New York,Denver Nuggets,2003
Mississippi,Golden State Warriors,2003
Florida,Indiana Pacers,2003
Central Michigan University,Los Angeles Clippers,2003
Arizona,Los Angeles Lakers,2003
Illinois,Los Angeles Lakers,2003
"Nevada, Las Vegas",Memphis Grizzlies,2003
Marquette University,Miami Heat,2003
"Midland College, University of North Dakota",Miami Heat,2003
Kentucky,Milwaukee Bucks,2003
Texas,Milwaukee Bucks,2003
Creighton University,New Jersey Nets,2003
Ohio,New Orleans Hornets,2003
Georgetown University,New York Knicks,2003
Kentucky,Orlando Magic,2003
University of Detroit Mercy,Seattle SuperSonics,2003
Kansas,Seattle SuperSonics,2003
Oregon,Seattle SuperSonics,2003
Georgia Institute of Technology,Toronto Raptors,2003
Alabama,Utah Jazz,2003
Maryland,Washington Wizards,2003
"Western Carolina University, University of Georgia",Washington Wizards,2003
Southeastern Illinois College,Atlanta Hawks,2004
California,Atlanta Hawks,2004
Texas,Atlanta Hawks,2004
"Butler County Community College, Oklahoma",Boston Celtics,2004
Saint Joseph's University,Boston Celtics,2004
University of Mississippi,Boston Celtics,2004
Connecticut,Charlotte Bobcats,2004
Michigan,Charlotte Bobcats,2004
North Carolina,Chicago Bulls,2004
Iowa,Chicago Bulls,2004
Connecticut,Chicago Bulls,2004
