Rank,team,Avg Age,Wins,Losses,ORtg,DRtg,NRtg,Pace,Attendance,attend/g,season,Win%,eFG%
1,Los Angeles Lakers,29.2,67,15,107.3,98.2,9.1,93.3,771420,,2000,81.707,0.484
2,Portland Trail Blazers,29.6,59,23,107.9,100.8,7.1,89.9,835078,,2000,71.951,0.501
3,San Antonio Spurs,30.9,53,29,105,98.6,6.4,90.8,884450,,2000,64.634,0.488
4,Phoenix Suns,28.6,53,29,104.6,99,5.6,94,773115,,2000,64.634,0.491
5,Utah Jazz,31.5,55,27,107.3,102.3,5,89.6,801268,,2000,67.073,0.49
6,Indiana Pacers,30.4,56,26,108.5,103.6,4.9,93.1,752145,,2000,68.293,0.503
7,Sacramento Kings,27.5,44,38,105,102.1,2.9,99.3,720033,,2000,53.659,0.486
8,Miami Heat,29.2,52,30,104.5,101,3.5,89.7,706725,,2000,63.415,0.495
9,Minnesota Timberwolves,26.6,50,32,106.1,103.4,2.7,91.8,690012,,2000,60.976,0.485
10,Charlotte Hornets,28.7,49,33,104.3,101.4,2.9,93.9,732827,,2000,59.756,0.475
11,New York Knicks,29.5,50,32,102.5,100.9,1.6,89.2,810103,,2000,60.976,0.482
12,Oklahoma City Thunder,28.5,45,37,105.6,104.6,1,93.4,615730,,2000,54.878,0.487
13,Detroit Pistons,28.3,42,40,107.3,105.8,1.5,95.7,678470,,2000,51.22,0.492
14,Philadelphia 76ers,27.1,49,33,101.5,100,1.5,92.7,756956,,2000,59.756,0.457
15,Orlando Magic,26.3,41,41,102.4,101.7,0.7,97.3,576409,,2000,50,0.473
16,Milwaukee Bucks,28.2,42,40,108.2,107.9,0.3,92.7,628605,,2000,51.22,0.494
17,Dallas Mavericks,26.3,40,42,106.6,107.2,-0.6,94.9,606177,,2000,48.78,0.49
18,Toronto Raptors,29.3,45,37,104.7,104.9,-0.2,92.5,756496,,2000,54.878,0.464
19,Houston Rockets,26.3,34,48,104.8,105.7,-0.9,94.2,624594,,2000,41.463,0.494
20,Boston Celtics,25.4,35,47,104.8,105.6,-0.8,94.6,683608,,2000,42.683,0.474
21,New Jersey Nets,27.3,31,51,105.1,106.3,-1.2,92.5,643631,,2000,37.805,0.468
22,Denver Nuggets,25.9,35,47,103.5,105.8,-2.3,94.7,637698,,2000,42.683,0.476
23,Washington Wizards,28,29,53,103.5,107,-3.5,92.7,616593,,2000,35.366,0.476
24,Cleveland Cavaliers,27.2,32,50,100.4,104,-3.6,95.7,603702,,2000,39.024,0.468
25,Vancouver Grizzlies,25.3,22,60,102.3,108.5,-6.2,91,569864,,2000,26.829,0.474
26,Atlanta Hawks,27.6,28,54,102,107.9,-5.9,91.7,600954,,2000,34.146,0.46
27,Golden State Warriors,26.9,19,63,99.8,108.4,-8.6,95.4,509171,,2000,23.171,0.444
28,Chicago Bulls,26,17,65,94.2,104.6,-10.4,89.4,907064,,2000,20.732,0.443
29,Los Angeles Clippers,24.2,15,67,97.8,110.1,-12.3,93.9,559714,,2000,18.293,0.458
1,San Antonio Spurs,29.5,58,24,106.6,98,8.6,89.6,913176,22273,2001,70.732,0.496
2,Sacramento Kings,27.1,55,27,105.6,99.6,6,94.4,709997,17317,2001,67.073,0.484
3,Utah Jazz,32,53,29,107.6,102.4,5.2,89.8,792196,19322,2001,64.634,0.497
4,Dallas Mavericks,26.6,53,29,107.1,102.6,4.5,93.2,680238,16591,2001,64.634,0.498
5,Portland Trail Blazers,30.1,50,32,106.5,101.8,4.7,89.1,831376,20277,2001,60.976,0.497
6,Los Angeles Lakers,29.2,56,26,108.4,104.8,3.6,91.7,776336,18935,2001,68.293,0.498
7,Philadelphia 76ers,28.2,56,26,103.6,98.9,4.7,90.6,805692,19651,2001,68.293,0.468
8,Milwaukee Bucks,28.2,52,30,108.8,104.6,4.2,92.1,683125,16662,2001,63.415,0.499
9,Houston Rockets,26.7,45,37,106.7,104.2,2.5,90.4,518555,12648,2001,54.878,0.492
10,Phoenix Suns,28.6,51,31,100.3,98,2.3,93.1,737586,17990,2001,62.195,0.46
11,New York Knicks,29.8,48,34,101.2,98.2,3,86.7,810283,19763,2001,58.537,0.476
12,Minnesota Timberwolves,27.4,47,35,105.2,103.7,1.5,91.8,717371,17497,2001,57.317,0.482
13,Miami Heat,30.9,50,32,101.1,98.5,2.6,87.1,678186,16541,2001,60.976,0.469
14,Toronto Raptors,29.9,47,35,105.9,103.4,2.5,90.9,793256,19348,2001,57.317,0.468
15,Charlotte Hornets,28.2,46,36,101.8,99.5,2.3,89.4,615424,15010,2001,56.098,0.457
16,Oklahoma City Thunder,27.9,44,38,105.6,105.6,0,91.6,640847,15630,2001,53.659,0.491
17,Orlando Magic,26,43,39,103.2,102.1,1.1,93.2,605031,14757,2001,52.439,0.474
18,Indiana Pacers,27.7,41,41,102,102.2,-0.2,89.4,731800,17849,2001,50,0.471
19,Denver Nuggets,27.9,40,42,103.7,106.3,-2.6,92.6,619300,15105,2001,48.78,0.47
20,Detroit Pistons,27.1,32,50,100,101.8,-1.8,94.7,607323,14813,2001,39.024,0.453
21,Los Angeles Clippers,24.3,31,51,101.3,104.5,-3.2,89.6,601587,14673,2001,37.805,0.476
22,Boston Celtics,25.9,36,46,101.4,103.7,-2.3,92.6,629201,15346,2001,43.902,0.473
23,Cleveland Cavaliers,26.9,30,52,100.3,104.9,-4.6,91.2,650775,15873,2001,36.585,0.459
24,Vancouver Grizzlies,26.2,23,59,99.6,105.8,-6.2,91.7,563218,13737,2001,28.049,0.464
25,New Jersey Nets,27.5,26,56,100,105.5,-5.5,91.8,556573,13575,2001,31.707,0.452
26,Atlanta Hawks,26.1,25,57,98.7,104.3,-5.6,91.9,560330,13667,2001,30.488,0.456
27,Washington Wizards,27,19,63,100.6,107.8,-7.2,92.7,638653,15577,2001,23.171,0.46
28,Golden State Warriors,26.6,17,65,97.8,107.4,-9.6,94.1,591981,14439,2001,20.732,0.429
29,Chicago Bulls,23.2,15,67,97.2,107.3,-10.1,89.3,888654,21674,2001,18.293,0.45
1,Sacramento Kings,27,61,21,109,101.1,7.9,95.6,709997,17317,2002,74.39,0.497
2,Los Angeles Lakers,27.9,58,24,109.4,101.7,7.7,92.1,778777,18995,2002,70.732,0.498
3,San Antonio Spurs,28.5,58,24,106.5,99.7,6.8,90,906390,22107,2002,70.732,0.492
4,Dallas Mavericks,27.6,57,25,112.2,107.7,4.5,92.8,802783,19580,2002,69.512,0.507
5,New Jersey Nets,26.1,52,30,104,99.5,4.5,91.8,564194,13761,2002,63.415,0.476
6,Minnesota Timberwolves,26.7,50,32,109,105.3,3.7,90.5,731673,17846,2002,60.976,0.49
7,Oklahoma City Thunder,26.9,45,37,108.9,105.6,3.3,89,633516,15452,2002,54.878,0.505
8,Portland Trail Blazers,29,49,33,107.4,104,3.4,89.3,797821,19459,2002,59.756,0.485
9,Boston Celtics,26.2,49,33,103.4,101,2.4,92.5,659751,16091,2002,59.756,0.476
10,Detroit Pistons,29.5,50,32,104.8,102.4,2.4,90,760807,18556,2002,60.976,0.497
11,Philadelphia 76ers,29,43,39,102.1,100.3,1.8,88.9,842976,20560,2002,52.439,0.452
12,Orlando Magic,28,44,38,107,105.3,1.7,93.2,621121,15149,2002,53.659,0.493
13,Utah Jazz,29.9,44,38,105.6,104.6,1,90.3,766108,18686,2002,53.659,0.472
14,Charlotte Hornets,28.3,44,38,104.3,103.3,1,89.7,462738,11286,2002,53.659,0.466
15,Indiana Pacers,26.1,42,40,104.1,103.8,0.3,91.9,686537,16745,2002,51.22,0.477
16,Los Angeles Clippers,24.4,39,43,105.5,106,-0.5,90.1,740185,18053,2002,47.561,0.476
17,Phoenix Suns,26.5,36,46,103.3,104,-0.7,91.4,668939,16316,2002,43.902,0.472
18,Milwaukee Bucks,28.9,41,41,106.9,107.1,-0.2,90.2,745305,18178,2002,50,0.507
19,Toronto Raptors,29.3,42,40,102.6,103.1,-0.5,88.8,810160,19760,2002,51.22,0.463
20,Washington Wizards,27.5,37,45,104.8,106.4,-1.6,88.3,847634,20674,2002,45.122,0.464
21,Miami Heat,30.1,36,46,98.5,100.2,-1.7,87.4,655549,15989,2002,43.902,0.463
22,Cleveland Cavaliers,26,29,53,104.6,108.2,-3.6,90.3,596115,14539,2002,35.366,0.477
23,New York Knicks,30.3,30,52,101.5,105.9,-4.4,89.7,810283,19763,2002,36.585,0.468
24,Houston Rockets,25.9,28,54,103.1,108.6,-5.5,88.2,481227,11737,2002,34.146,0.465
25,Atlanta Hawks,25.7,33,49,101.8,106.4,-4.6,91.9,506110,12344,2002,40.244,0.471
26,Golden State Warriors,24.8,21,61,102.8,108.5,-5.7,94.5,593182,14468,2002,25.61,0.452
27,Denver Nuggets,28.2,27,55,101.4,107.8,-6.4,90.4,633846,15460,2002,32.927,0.455
28,Memphis Grizzlies,25.5,23,59,98.2,106.3,-8.1,91.1,591030,14415,2002,28.049,0.462
29,Chicago Bulls,25.5,21,61,98.2,107.6,-9.4,90.5,776311,18934,2002,25.61,0.456
1,Dallas Mavericks,28.1,60,22,110.7,102.3,8.4,92.5,816429,19913,2003,73.171,0.498
2,Sacramento Kings,28.3,59,23,105.9,99.1,6.8,95.4,709997,17317,2003,71.951,0.499
3,San Antonio Spurs,28.4,60,22,105.6,99.7,5.9,90,735970,17950,2003,73.171,0.497
4,New Jersey Nets,27.3,49,33,103.8,98.1,5.7,91.6,622574,15185,2003,59.756,0.468
5,Detroit Pistons,29,50,32,104.1,99.9,4.2,86.8,839278,20470,2003,60.976,0.473
6,Portland Trail Blazers,29.2,50,32,105.5,102.6,2.9,89.4,796258,19421,2003,60.976,0.489
7,Indiana Pacers,25.9,48,34,104.6,100.8,3.8,91.6,670461,16353,2003,58.537,0.469
8,Utah Jazz,30.9,47,35,105.5,102.8,2.7,89.3,786034,19172,2003,57.317,0.486
9,Los Angeles Lakers,28.1,50,32,107.2,104.7,2.5,92.5,777888,18973,2003,60.976,0.486
10,Minnesota Timberwolves,28.2,51,31,106.1,103.8,2.3,91.9,643684,15700,2003,62.195,0.488
11,Houston Rockets,25.9,43,39,104.3,102.6,1.7,88.8,565166,13785,2003,52.439,0.474
12,Philadelphia 76ers,28.3,48,34,105,102.5,2.5,91.4,807097,19685,2003,58.537,0.466
13,Phoenix Suns,25.2,44,38,103.7,102.5,1.2,91.5,666559,16258,2003,53.659,0.473
14,New Orleans Hornets,29.1,47,35,103.9,101.6,2.3,89.4,641683,15651,2003,57.317,0.465
15,Oklahoma City Thunder,26.9,40,42,103.7,103.9,-0.2,88,637194,15541,2003,48.78,0.472
16,Milwaukee Bucks,29.3,42,40,108.8,108.6,0.2,90.4,665966,16243,2003,51.22,0.5
17,Orlando Magic,26.9,42,40,105.2,105,0.2,93.1,605901,14778,2003,51.22,0.478
18,Golden State Warriors,24.4,38,44,108.3,109.5,-1.2,94.2,634935,15486,2003,46.341,0.472
19,Boston Celtics,26.9,44,38,101.2,101.6,-0.4,90.9,709049,17294,2003,53.659,0.47
20,Washington Wizards,28.4,37,45,103,104.1,-1.1,88.2,827093,20173,2003,45.122,0.46
21,New York Knicks,30.2,37,45,104.7,106.2,-1.5,90.7,779479,19012,2003,45.122,0.486
22,Memphis Grizzlies,24.9,28,54,103.9,107.3,-3.4,92.7,611322,14910,2003,34.146,0.487
23,Los Angeles Clippers,25.3,27,55,102.3,106.8,-4.5,91.3,706471,17231,2003,32.927,0.467
24,Atlanta Hawks,27.2,35,47,102.3,106.1,-3.8,91,528655,12894,2003,42.683,0.476
25,Miami Heat,26.5,25,57,96.7,102.4,-5.7,87.8,628242,15323,2003,30.488,0.439
26,Chicago Bulls,25.2,30,52,100.2,105.6,-5.4,93.5,804309,19617,2003,36.585,0.471
27,Toronto Raptors,27.6,24,58,100.5,107,-6.5,89.9,777507,18964,2003,29.268,0.458
28,Denver Nuggets,24.1,17,65,92.2,101.3,-9.1,91,607813,14825,2003,20.732,0.428
29,Cleveland Cavaliers,23.5,17,65,96.5,106.7,-10.2,94,471374,11497,2003,20.732,0.444
1,San Antonio Spurs,27.3,57,25,102.2,94.1,8.1,89.2,739706,18042,2004,69.512,0.473
2,Minnesota Timberwolves,29.7,58,24,105.9,99.7,6.2,89,723071,17636,2004,70.732,0.486
3,Sacramento Kings,29.3,55,27,110.3,104.9,5.4,92.8,709997,17317,2004,67.073,0.507
4,Detroit Pistons,27.4,54,28,102,95.4,6.6,87.9,872902,21290,2004,65.854,0.461
5,Indiana Pacers,27.1,61,21,103.8,97.2,6.6,87.5,678326,16545,2004,74.39,0.471
6,Dallas Mavericks,27.4,52,30,112.1,107.4,4.7,93.2,825594,20136,2004,63.415,0.495
7,Los Angeles Lakers,29.8,56,26,105.5,101.3,4.2,92.3,777757,18970,2004,68.293,0.481
8,Memphis Grizzlies,26,50,32,104.8,102.2,2.6,91.4,622723,15188,2004,60.976,0.479
9,Houston Rockets,28.3,45,37,100.9,99,1.9,87.8,640794,15629,2004,54.878,0.484
10,New Jersey Nets,27.7,47,35,100.8,98,2.8,89.4,613051,14952,2004,57.317,0.471
11,Denver Nuggets,25.6,43,39,103.9,102.7,1.2,93.3,721476,17597,2004,52.439,0.467
12,Milwaukee Bucks,26.5,41,41,106.5,105.4,1.1,91.6,690180,16834,2004,50,0.477
13,Oklahoma City Thunder,26,37,45,107.3,108,-0.7,89.9,625474,15154,2004,45.122,0.501
14,Golden State Warriors,28.1,37,45,103,103.8,-0.8,89.8,665648,16235,2004,45.122,0.475
15,Miami Heat,26.4,42,40,102.2,101.7,0.5,88,624809,15239,2004,51.22,0.463
16,Utah Jazz,24.9,42,40,101.9,103.3,-1.4,86.6,785330,19154,2004,51.22,0.456
17,Portland Trail Blazers,27.6,41,41,103.7,105.1,-1.4,86.2,684038,16684,2004,50,0.478
18,New Orleans Hornets,30.3,41,41,102.3,102.4,-0.1,89.1,587613,14332,2004,50,0.46
19,New York Knicks,29.6,39,43,101.7,103.3,-1.6,89.5,785739,19164,2004,47.561,0.474
20,Boston Celtics,26.4,36,46,102.1,103.7,-1.6,93.2,664248,16201,2004,43.902,0.486
21,Phoenix Suns,24.4,29,53,101.4,105.5,-4.1,92.6,670385,16351,2004,35.366,0.475
22,Philadelphia 76ers,27.5,33,49,99.1,101.9,-2.8,88,788128,19223,2004,40.244,0.456
23,Cleveland Cavaliers,24.9,35,47,101.4,104.2,-2.8,90.8,749790,18288,2004,42.683,0.451
24,Toronto Raptors,27.6,33,49,97,100.4,-3.4,86.8,750608,18308,2004,40.244,0.454
25,Los Angeles Clippers,24.3,28,54,103.5,108.5,-5,91,665396,16143,2004,34.146,0.453
26,Atlanta Hawks,26.2,28,54,101,106.1,-5.1,90.8,565728,13798,2004,34.146,0.465
27,Washington Wizards,24.4,25,57,98.8,104.8,-6,92.2,645363,15741,2004,30.488,0.454
28,Chicago Bulls,26.8,23,59,96.6,103.4,-6.8,92.2,809177,19736,2004,28.049,0.446
29,Orlando Magic,25.8,21,61,102.7,110.4,-7.7,90.8,589144,14369,2004,25.61,0.461
1,San Antonio Spurs,28.5,59,23,107.5,98.8,8.7,88.9,750970,18316,2005,71.951,0.492
2,Phoenix Suns,25.2,62,20,114.5,107.1,7.4,95.9,726066,17709,2005,75.61,0.534
3,Dallas Mavericks,27.7,58,24,110.3,104.1,6.2,92.7,822533,20062,2005,70.732,0.492
4,Miami Heat,28,59,23,110.2,103.1,7.1,90.8,815143,19882,2005,71.951,0.524
5,Houston Rockets,29.7,51,31,106.2,101.7,4.5,88.8,663444,16182,2005,62.195,0.486
6,Detroit Pistons,27.9,54,28,105.6,101.2,4.4,87.2,905116,22076,2005,65.854,0.472
7,Memphis Grizzlies,26.3,45,37,105.5,102.9,2.6,88.5,691362,16862,2005,54.878,0.489
8,Oklahoma City Thunder,26,52,30,112.2,109.6,2.6,87.9,675490,16475,2005,63.415,0.495
9,Sacramento Kings,27.7,50,32,110.5,108.2,2.3,93,709997,17317,2005,60.976,0.496
10,Denver Nuggets,26.7,49,33,106,103.9,2.1,93.5,723949,17657,2005,59.756,0.483
11,Minnesota Timberwolves,29,44,38,108.2,106.6,1.6,89.1,704438,17181,2005,53.659,0.489
12,Chicago Bulls,25,47,35,101.4,100.3,1.1,92.4,828384,20204,2005,57.317,0.471
13,Indiana Pacers,28.3,44,38,105.5,104.6,0.9,87.2,696764,16994,2005,53.659,0.476
14,Boston Celtics,27.1,45,37,107.5,106.6,0.9,93.3,656081,16002,2005,54.878,0.501
15,Cleveland Cavaliers,26.5,42,40,106.6,105.7,0.9,89.7,784249,19128,2005,51.22,0.47
16,Los Angeles Clippers,25.5,37,45,105.5,106.4,-0.9,89.1,696181,16980,2005,45.122,0.477
17,Washington Wizards,25.3,45,37,107.2,107.5,-0.3,93.3,705069,17197,2005,54.878,0.474
18,Philadelphia 76ers,26.4,43,39,103.5,104.3,-0.8,94.9,732686,17870,2005,52.439,0.475
