Player,Season,Team,Salary,PPG,Height,Weight,PPM
A.C. Green,2000,Los Angeles Lakers,1700000,5.03659,206,100,0.2141
A.C. Green,2001,Miami Heat,2250000,4.47561,206,100,0.2601
A.J. Bramlett,2000,Cleveland Cavaliers,118974,1,208,103,0.13115
A.J. Guyton,2001,Chicago Bulls,316969,6,185,82,0.31429
A.J. Guyton,2002,Chicago Bulls,465850,5.42222,185,82,0.40198
A.J. Guyton,2003,Golden State Warriors,18748,0,185,82,0
A.J. Price,2010,Indiana Pacers,457588,7.32143,188,82,0.47399
A.J. Price,2011,Indiana Pacers,762195,6.46,188,82,0.40629
A.J. Price,2012,Indiana Pacers,854389,3.90909,188,82,0.30282
A.J. Price,2013,Washington Wizards,885120,7.73684,188,82,0.34507
A.J. Price,2015,TOT,62552,5.11538,188,82,0.41049
A.J. Price,2015,Indiana Pacers,62552,10.5,188,82,0.54404
A.J. Price,2015,Cleveland Cavaliers,62552,2,188,82,0.25287
A.J. Price,2015,Phoenix Suns,62552,1.2,188,82,0.13636
Aaron Brooks,2008,Houston Rockets,972720,5.17647,183,73,0.43421
Aaron Brooks,2009,Houston Rockets,1045560,11.175,183,73,0.44745
Aaron Brooks,2010,Houston Rockets,1118520,19.56098,183,73,0.5495
Aaron Brooks,2011,TOT,2016692,10.74576,183,73,0.49377
Aaron Brooks,2011,Houston Rockets,2016692,11.58824,183,73,0.48582
Aaron Brooks,2011,Phoenix Suns,2016692,9.6,183,73,0.5074
Aaron Brooks,2013,TOT,3250000,7.09434,183,73,0.37713
Aaron Brooks,2013,Sacramento Kings,3250000,7.95652,183,73,0.38165
Aaron Brooks,2013,Houston Rockets,3250000,1.42857,183,73,0.26316
Aaron Brooks,2014,TOT,3396250,8.95833,183,73,0.41426
Aaron Brooks,2014,Houston Rockets,3396250,6.95349,183,73,0.4176
Aaron Brooks,2014,Denver Nuggets,3396250,11.93103,183,73,0.41141
Aaron Brooks,2015,Chicago Bulls,1145685,11.63415,183,73,0.5061
Aaron Brooks,2016,Chicago Bulls,2000000,7.11594,183,73,0.44314
Aaron Gordon,2015,Orlando Magic,3992040,5.17021,206,100,0.30489
Aaron Gordon,2016,Orlando Magic,4171680,9.21795,206,100,0.38594
Aaron Gray,2008,Chicago Bulls,427163,4.29508,213,123,0.42741
Aaron Gray,2009,Chicago Bulls,711517,3.5,213,123,0.27413
Aaron Gray,2010,TOT,1000497,3.25,213,123,0.33441
Aaron Gray,2010,Chicago Bulls,1000497,2.25,213,123,0.36
Aaron Gray,2010,New Orleans Pelicans,1000497,3.58333,213,123,0.3295
Aaron Gray,2011,New Orleans Pelicans,1028840,3.14634,213,123,0.24294
Aaron Gray,2012,Toronto Raptors,2500000,3.89796,213,123,0.23493
